EVTYPE,EVENTTEMP,EVENTPRECIP,EVENTWIND,EVENTELECTRICAL,EVENTFLOOD,EVENTSEAS,EVENT EROSION,EVENTCOMBUSTION
COLD AIR FUNNEL,,COLD AIR TORNADO,,,,,,
COLD AIR FUNNELS,,COLD AIR TORNADO,,,,,,
COLD AIR TORNADO,,COLD AIR TORNADO,,,,,,
Cold and Frost,FROST,,,,,,,
COLD AND FROST,FROST,,,,,,,
COLD AND SNOW,COLD,,,,,,,
COLD AND WET CONDITIONS,COLD,,,,,,,
Cold Temperature,COLD,,,,,,,
COLD TEMPERATURES,COLD,,,,,,,
COLD WAVE,COLD,,,,,,,
COLD WEATHER,COLD,,,,,,,
COLD WIND CHILL TEMPE,WIND CHILL,,,,,,,
Cold,COLD,,,,,,,
COLD,COLD,,,,,,,
COLD/WIND CHILL,WIND CHILL,,,,,,,
COLD/WINDS,WIND CHILL,,,,,,,
COOL AND WET,COOL,,,,,,,
COOL SPELL,COOL,,,,,,,
CSTL FLOODING/EROSION,,,,,COASTAL FLOOD,,COASTAL EROSION,
DAM BREAK,,,,,,,DAM BREAK,
DAM FAILURE,,,,,,,DAM BREAK,
Damaging Freeze,FREEZE,,,,,,,
DAMAGING FREEZE,FREEZE,,,,,,,
DEEP HAIL,,HAIL,,,,,,
DENSE FOG,,FOG,,,,,,
DENSE SMOKE,,,,,,,,SMOKE
DOWNBURST WINDS,,,DOWNBURST,,,,,
DOWNBURST,,,DOWNBURST,,,,,
DRIEST MONTH,,UNSEASONABLE DRY,,,,,,
Drifting Snow,,SNOW,,,,,,
DROUGHT,,DROUGHT,,,,,,
DROUGHT/EXCESSIVE HEA,HEAT,,,,,,,
DROWNING,,,,,FLOOD,,,
DRY CONDITIONS,,DRY,,,,,,
DRY HOT WEATHER,HEAT,,,,,,,
DRY MICROBURST 50,,,MICROBURST,,,,,
DRY MICROBURST 53,,,MICROBURST,,,,,
DRY MICROBURST 58,,,MICROBURST,,,,,
DRY MICROBURST 61,,,MICROBURST,,,,,
DRY MICROBURST 84,,,MICROBURST,,,,,
DRY MICROBURST WINDS,,,MICROBURST,,,,,
DRY MICROBURST,,,MICROBURST,,,,,
DRY MIRCOBURST WINDS,,,MICROBURST,,,,,
DRY PATTERN,,DRY,,,,,,
DRY SPELL,,DRY,,,,,,
DRY WEATHER,,DRY,,,,,,
DRY,,DRY,,,,,,
DRYNESS,,DRY,,,,,,
DUST DEVEL,,DUST DEVIL,,,,,,
DUST DEVIL WATERSPOUT,,DUST DEVIL,,,,WATERSPOUT,,
DUST DEVIL,,DUST DEVIL,,,,,,
Dust Devil,,DUST DEVIL,,,,,,
DUST STORM,,DUST STORM,,,,,,
DUST STORM/HIGH WINDS,,DUST STORM,HIGH WINDS,,,,,
DUSTSTORM,,DUST STORM,,,,,,
EARLY FREEZE,EARLY FROST,,,,,,,
Early Frost,EARLY FROST,,,,,,,
EARLY FROST,EARLY FROST,,,,,,,
EARLY RAIN,,EARLY RAIN,,,,,,
EARLY SNOW,,EARLY SNOW,,,,,,
Early snowfall,,EARLY SNOW,,,,,,
EARLY SNOWFALL,,EARLY SNOW,,,,,,
Erosion/Cstl Flood,,,,,COASTAL FLOOD,,COASTAL EROSION,
Excessive Cold,COLD,,,,,,,
EXCESSIVE HEAT,HEAT,DROUGHT,,,,,,
EXCESSIVE HEAT/DROUGHT,HEAT,DROUGHT,,,,,,
EXCESSIVE PRECIPITATI,,EXCESSIVE PRECIPITATION,,,,,,
EXCESSIVE RAIN,,EXCESSIVE RAIN,,,,,,
EXCESSIVE RAINFALL,,EXCESSIVE RAIN,,,,,,
EXCESSIVE SNOW,,EXCESSIVE SNOW,,,,,,
EXCESSIVE WETNESS,,WET,,,,,,
EXCESSIVE,,DRY,,,,,,
EXCESSIVELY DRY,,DRY,,,,,,
Extended Cold,COLD,,,,,,,
Extreme Cold,COLD,,,,,,,
EXTREME COLD,COLD,,,,,,,
EXTREME COLD/WIND CHI,WIND CHILL,,,,,,,
EXTREME HEAT,HEAT,,,,,,,
EXTREME WIND CHILL,WIND CHILL,,,,,,,
EXTREME WIND CHILL/BL,WIND CHILL,,,,,,,
EXTREME WIND CHILLS,WIND CHILL,,,,,,,
EXTREME WINDCHILL TEM,WIND CHILL,,,,,,,
EXTREME WINDCHILL,WIND CHILL,,,,,,,
EXTREME/RECORD COLD,COLD,,,,,,,
EXTREMELY WET,,WET,,,,,,
FALLING SNOW/ICE,,SNOW,,,,,,
FIRST FROST,,FROST,,,,,,
FIRST SNOW,,SNOW,,,,,,
FLASH FLOOD - HEAVY RAIN,,HEAVY RAIN,,,FLASH FLOOD,,,
FLASH FLOOD FROM ICE JAMS,,,,,FLASH FLOOD,,ICE JAM,
FLASH FLOOD LANDSLIDE,,,,,FLASH FLOOD,,LANDSLIDE,
FLASH FLOOD WINDS,,,WIND,,FLASH FLOOD,,,
FLASH FLOOD,,,,,FLASH FLOOD,,,
FLASH FLOOD/ FLOOD,,,,,FLASH FLOOD,,,
FLASH FLOOD/ STREET,,,,,FLASH FLOOD,,,
FLASH FLOOD/,,,,,FLASH FLOOD,,,
FLASH FLOOD/FLOOD,,,,,FLASH FLOOD,,,
FLASH FLOOD/HEAVY RAI,,HEAVY RAIN,,,FLASH FLOOD,,,
FLASH FLOOD/LANDSLIDE,,,,,FLASH FLOOD,,LANDSLIDE,
FLASH FLOODING,,,,,FLASH FLOOD,,,
FLASH FLOODING/FLOOD,,THUNDERSTORM,,,FLASH FLOOD,,,
FLASH FLOODING/THUNDERSTORM WI,,THUNDERSTORM,WIND,,FLASH FLOOD,,,
FLASH FLOODS,,,,,FLASH FLOOD,,,
FLASH FLOOODING,,,,,FLASH FLOOD,,,
FLOOD & HEAVY RAIN,,HEAVY RAIN,,,FLOOD,,,
FLOOD FLASH,,,,,FLASH FLOOD,,,
FLOOD FLOOD/FLASH,,,,,FLASH FLOOD,,,
FLOOD WATCH/,,,,,FLOOD,,,
Flood,,,,,FLOOD,,,
FLOOD,,,,,FLASH FLOOD,,,
Flood/Flash Flood,,,,,FLASH FLOOD,,,
FLOOD/FLASH FLOOD,,,,,FLASH FLOOD,,,
FLOOD/FLASH FLOODING,,,,,FLASH FLOOD,,,
FLOOD/FLASH,,,,,FLASH FLOOD,,,
FLOOD/FLASH/FLOOD,,,,,FLASH FLOOD,,,
FLOOD/FLASHFLOOD,,,,,FLASH FLOOD,,,
FLOOD/RAIN/WIND,,RAIN,WIND,,FLOOD,,,
FLOOD/RAIN/WINDS,,RAIN,WIND,,FLOOD,,,
FLOOD/RIVER FLOOD,,,,,RIVER FLOOD,,,
Flood/Strong Wind,,,WIND,,FLOOD,,,
FLOODING,,,,,FLOOD,,,
FLOODING/HEAVY RAIN,,HEAVY RAIN,,,FLOOD,,,
FLOODS,,,,,FLOOD,,,
FOG AND COLD TEMPERAT,COLD,FOG,,,,,,
FOG,,FOG,,,,,,
FOREST FIRES,,,,,,,,FOREST FIRE
Freeze,FREEZE,,,,,,,
FREEZE,FREEZE,,,,,,,
FREEZING DRIZZLE AND FREEZING,FREEZE,FREEZING DRIZZLE,,,,,,
Freezing drizzle,,FREEZING DRIZZLE,,,,,,
Freezing Drizzle,,FREEZING DRIZZLE,,,,,,
FREEZING DRIZZLE,,FREEZING DRIZZLE,,,,,,
Freezing Fog,,FREEZING FOG,,,,,,
FREEZING FOG,,FREEZING FOG,,,,,,
FREEZING RAIN AND SLEET,,FREEZING RAIN,,,,,,
FREEZING RAIN AND SNOW,,FREEZING RAIN,,,,,,
FREEZING RAIN SLEET A,,SLEET,,,,,,
FREEZING RAIN SLEET AND LIGHT,COLD,SLEET,,LIGHTNING,,,,
Freezing rain,,FREEZING RAIN,,,,,,
Freezing Rain,,FREEZING RAIN,,,,,,
FREEZING RAIN,,FREEZING RAIN,,,,,,
FREEZING RAIN/SLEET,,SLEET,,,,,,
FREEZING RAIN/SNOW,,FREEZING RAIN,,,,,,
Freezing Spray,,,,,,FREEZING SPRAY,,
Frost,FROST,,,,,,,
FROST,FROST,,,,,,,
Frost/Freeze,FROST,,,,,,,
FROST/FREEZE,FROST,,,,,,,
FROST\\FREEZE,FROST,,,,,,,
Funnel Cloud,,,TORNADO,,,,,
FUNNEL CLOUD,,,TORNADO,,,,,
FUNNEL CLOUD.,,,TORNADO,,,,,
FUNNEL CLOUD/HAIL,,HAIL,TORNADO,,,,,
FUNNEL CLOUDS,,,TORNADO,,,,,
FUNNEL,,,TORNADO,,,,,
FUNNELS,,,TORNADO,,,,,
GLAZE ICE,GLAZE ICE,,,,,,,
Glaze,GLAZE ICE,,,,,,,
GLAZE,GLAZE ICE,,,,,,,
GLAZE/ICE STORM,GLAZE ICE,ICE STORM,,,,,,
Gradient wind,,,GRADIENT WIND,,,,,
GRADIENT WIND,,,GRADIENT WIND,,,,,
gradient wind,,,GRADIENT WIND,,,,,
GRADIENT WINDS,,,GRADIENT WIND,,,,,
GRASS FIRES,,,,,,,,GRASS FIRE
GROUND BLIZZARD,,BLIZZARD,,,,,,
GUSTNADO AND,,,GUSTNADO,,,,,
GUSTNADO,,,GUSTNADO,,,,,
GUSTY LAKE WIND,,,GUSTS,,,,,
GUSTY THUNDERSTORM WI,,THUNDERSTORM,GUSTS,,,,,
GUSTY THUNDERSTORM WINDS,,THUNDERSTORM,GUSTS,,,,,
Gusty Wind,,,GUSTS,,,,,
GUSTY WIND,,,GUSTS,,,,,
GUSTY WIND/HAIL,,HAIL,GUSTS,,,,,
GUSTY WIND/HVY RAIN,,HEAVY RAIN,GUSTS,,,,,
Gusty wind/rain,,RAIN,GUSTS,,,,,
Gusty winds,,,GUSTS,,,,,
Gusty Winds,,,GUSTS,,,,,
GUSTY WINDS,,,GUSTS,,,,,
HAIL 0.75,,HAIL,,,,,,
HAIL 0.88,,HAIL,,,,,,
HAIL 075,,HAIL,,,,,,
HAIL 088,,HAIL,,,,,,
HAIL 1.00,,HAIL,,,,,,
HAIL 1.75,,HAIL,,,,,,
HAIL 1.75),,HAIL,,,,,,
HAIL 100,,HAIL,,,,,,
HAIL 125,,HAIL,,,,,,
HAIL 150,,HAIL,,,,,,
HAIL 175,,HAIL,,,,,,
HAIL 200,,HAIL,,,,,,
HAIL 225,,HAIL,,,,,,
HAIL 275,,HAIL,,,,,,
HAIL 450,,HAIL,,,,,,
HAIL 75,,HAIL,,,,,,
HAIL 80,,HAIL,,,,,,
HAIL 88,,HAIL,,,,,,
HAIL ALOFT,,HAIL,,,,,,
HAIL DAMAGE,,HAIL,,,,,,
HAIL FLOODING,,HAIL,,,FLOOD,,,
HAIL STORM,,HAIL,,,,,,
HAIL,,HAIL,,,,,,
Hail(0.75),,HAIL,,,,,,
HAIL/ICY ROADS,,HAIL,,,,,,
HAIL/WIND,,HAIL,WIND,,,,,
HAIL/WINDS,,HAIL,WIND,,,,,
HAILSTORM,,HAIL,,,,,,
HAILSTORMS,,HAIL,,,,,,
HARD FREEZE,FREEZE,,,,,,,
HAZARDOUS SURF,,,,,,HIGH SURF,,
HEAT DROUGHT,HEAT,DROUGHT,,,,,,
HEAT WAVE DROUGHT,HEAT,DROUGHT,,,,,,
Heat Wave,HEAT,,,,,,,
HEAT WAVE,HEAT,,,,,,,
HEAT WAVES,HEAT,,,,,,,
HEAT,HEAT,,,,,,,
HEAT/DROUGHT,HEAT,DROUGHT,,,,,,
Heatburst,HEAT,,,,,,,
HEAVY LAKE SNOW,,LAKE EFFECT SNOW,,,,,,
HEAVY MIX,,HEAVY MIX,,,,,,
HEAVY PRECIPATATION,,HEAVY PERCIPITATION,,,,,,
Heavy Precipitation,,HEAVY PERCIPITATION,,,,,,
HEAVY PRECIPITATION,,HEAVY PERCIPITATION,,,,,,
HEAVY RAIN AND FLOOD,,HEAVY RAIN,,,FLOOD,,,
Heavy Rain and Wind,,HEAVY RAIN,WIND,,,,,
HEAVY RAIN EFFECTS,,HEAVY RAIN,,,,,,
Heavy Rain,,HEAVY RAIN,,,,,,
HEAVY RAIN,,HEAVY RAIN,,,,,,
Heavy rain,,HEAVY RAIN,,,,,,
HEAVY RAIN/FLOODING,,HEAVY RAIN,,,FLOOD,,,
Heavy Rain/High Surf,,HEAVY RAIN,,,,HIGH SURF,,
HEAVY RAIN/LIGHTNING,,HEAVY RAIN,,LIGHTNING,,,,
HEAVY RAIN/MUDSLIDES/,,HEAVY RAIN,,,,,MUDSLIDE,
HEAVY RAIN/SEVERE WEATHER,,HEAVY RAIN,,,,,,
HEAVY RAIN/SMALL STREAM URBAN,,HEAVY RAIN,,,URBAN FLOOD,,,
HEAVY RAIN/SNOW,,HEAVY RAIN,,,,,,
HEAVY RAIN/URBAN FLOOD,,HEAVY RAIN,,,FLOOD,,,
HEAVY RAIN/WIND,,HEAVY RAIN,WIND,,,,,
HEAVY RAIN; URBAN FLO,,HEAVY RAIN,,,URBAN FLOOD,,,
HEAVY RAINFALL,,HEAVY RAIN,,,,,,
HEAVY RAINS,,HEAVY RAIN,,,,,,
HEAVY RAINS/FLOODING,,HEAVY RAIN,,,FLOOD,,,
HEAVY SEAS,,,,,,HEAVY SEAS,,
HEAVY SHOWER,,HEAVY RAIN,,,,,,
HEAVY SHOWERS,,HEAVY RAIN,,,,,,
HEAVY SNOW   FREEZING,FREEZE,HEAVY SNOW,,,,,,
HEAVY SNOW & ICE,FREEZE,HEAVY SNOW,,,,,,
HEAVY SNOW AND HIGH W,,HEAVY SNOW,WiND,,,,,
HEAVY SNOW AND ICE STORM,,HEAVY SNOW,WiND,,,,,
HEAVY SNOW AND ICE,,HEAVY SNOW,,,,,,
HEAVY SNOW AND STRONG,,HEAVY SNOW,WiND,,,,,
HEAVY SNOW AND,,HEAVY SNOW,WiND,,,,,
HEAVY SNOW ANDBLOWING SNOW,,HEAVY SNOW,WiND,,,,,
Heavy snow shower,,HEAVY SNOW,,,,,,
HEAVY SNOW SQUALLS,,HEAVY SNOW,,,,,,
HEAVY SNOW,,HEAVY SNOW,,,,,,
HEAVY SNOW/BLIZZARD,,BLIZZARD,,,,,,
HEAVY SNOW/BLIZZARD/AVALANCHE,,BLIZZARD,,,,,AVALANCHE,
HEAVY SNOW/BLOWING SN,,HEAVY SNOW,,,,,,
HEAVY SNOW/FREEZING RAIN,FREEZE,HEAVY SNOW,,,,,,
HEAVY SNOW/HIGH WIND,,HEAVY SNOW,HIGH WINDS,,,,,
HEAVY SNOW/HIGH WINDS,,HEAVY SNOW,HIGH WINDS,,,,,
HEAVY SNOW/HIGH WINDS & FLOOD,,HEAVY SNOW,HIGH WINDS,,FLOOD,,,
HEAVY SNOW/HIGH WINDS,,HEAVY SNOW,HIGH WINDS,,,,,
HEAVY SNOW/HIGH,,HEAVY SNOW,HIGH WINDS,,,,,
HEAVY SNOW/ICE STORM,,HEAVY SNOW,,,,,,
HEAVY SNOW/ICE,,HEAVY SNOW,,,,,,
HEAVY SNOW/SLEET,,HEAVY SNOW,,,,,,
HEAVY SNOW/SQUALLS,,HEAVY SNOW,,,,,,
HEAVY SNOW/WIND,,HEAVY SNOW,WiND,,,,,
HEAVY SNOW/WINTER STO,,HEAVY SNOW,,,,,,
HEAVY SNOWPACK,,,,,,,HEAVY SNOWPACK,
HEAVY SNOW-SQUALLS,,HEAVY SNOW,,,,,,
Heavy surf and wind,,,HIGH WINDS,,,HIGH SURF,,
HEAVY SURF COASTAL FLOODING,,,,,COASTAL FLOOD,HEAVY SURF,,
Heavy Surf,,,,,,HEAVY SURF,,
HEAVY SURF,,,,,,HEAVY SURF,,
HEAVY SURF/HIGH SURF,,,,,,HIGH SURF,,
HEAVY SWELLS,,,,,,HEAVY SURF,,
HEAVY WET SNOW,,HEAVY SNOW,,,,,,
HIGH  SWELLS,,,,,,HIGH SURF,,
HIGH  WINDS,,,HIGH WINDS,,,,,
HIGH SEAS,,,,,,HiGH SEAS,,
HIGH SURF ADVISORIES,,,,,,HIGH SURF,,
HIGH SURF ADVISORY,,,,,,HIGH SURF,,
High Surf,,,,,,HIGH SURF,,
HIGH SURF,,,,,,HIGH SURF,,
HIGH SWELLS,,,,,,HIGH SURF,,
HIGH TEMPERATURE RECO,HEAT,,,,,,,
HIGH TIDES,,,,,,HIGH TIDE,,
HIGH WATER,,,,,HiGH WATER,,,
HIGH WAVES,,,,,,HIGH SURF,,
HIGH WIND (G40),,,HIGH WINDS,,,,,
HIGH WIND 48,,,HIGH WINDS,,,,,
HIGH WIND 63,,,HIGH WINDS,,,,,
HIGH WIND 70,,,HIGH WINDS,,,,,
HIGH WIND AND HEAVY SNOW,,HEAVY SNOW,HIGH WINDS,,,,,
HIGH WIND AND HIGH TIDES,,,HIGH WINDS,,,HIGH TIDE,,
HIGH WIND AND SEAS,,,HIGH WINDS,,,HIGH SEAS,,
HIGH WIND DAMAGE,,,HIGH WINDS,,,,,
High Wind,,,HIGH WINDS,,,,,
HIGH WIND,,,HIGH WINDS,,,,,
HIGH WIND/ BLIZZARD,,BLIZZARD,HIGH WINDS,,,,,
HIGH WIND/BLIZZARD,,BLIZZARD,HIGH WINDS,,,,,
HIGH WIND/BLIZZARD/FREEZING RA,,BLIZZARD,HIGH WINDS,,,,,
HIGH WIND/HEAVY SNOW,,HEAVY SNOW,HIGH WINDS,,,,,
HIGH WIND/LOW WIND CH,WIND CHILL,,HIGH WINDS,,,,,
HIGH WIND/SEAS,,,,,,HIGH SEAS,,
HIGH WIND/WIND CHILL,WIND CHILL,,HIGH WINDS,,,,,
HIGH WIND/WIND CHILL/,WIND CHILL,,HIGH WINDS,,,,,
HIGH WINDS 55,,,HIGH WINDS,,,,,
HIGH WINDS 57,,,HIGH WINDS,,,,,
HIGH WINDS 58,,,HIGH WINDS,,,,,
HIGH WINDS 63,,,HIGH WINDS,,,,,
HIGH WINDS 66,,,HIGH WINDS,,,,,
HIGH WINDS 67,,,HIGH WINDS,,,,,
HIGH WINDS 73,,,HIGH WINDS,,,,,
HIGH WINDS 76,,,HIGH WINDS,,,,,
HIGH WINDS 80,,,HIGH WINDS,,,,,
HIGH WINDS 82,,,HIGH WINDS,,,,,
HIGH WINDS AND WIND C,,,HIGH WINDS,,,,,
HIGH WINDS DUST STORM,,DUST STORM,HIGH WINDS,,,,,
HIGH WINDS HEAVY RAINS,,,HIGH WINDS,,,,,
HIGH WINDS,,,HIGH WINDS,,,,,
HIGH WINDS/,,,HIGH WINDS,,,,,
HIGH WINDS/COASTAL FLOOD,,,HIGH WINDS,,COASTAL FLOOD,,,
HIGH WINDS/COLD,COLD,,HIGH WINDS,,,,,
HIGH WINDS/FLOODING,,,HIGH WINDS,,FLOOD,,,
HIGH WINDS/HEAVY RAIN,,HEAVY RAIN,HIGH WINDS,,,,,
HIGH WINDS/SNOW,,SNOW,HIGH WINDS,,,,,
HIGH,,,HIGH WINDS,,,,,
HIGHWAY FLOODING,,,,,HIGHWAY FLOOD,,,
Hot and Dry,HEAT,DRY,,,,,,
HOT PATTERN,HEAT,,,,,,,
HOT SPELL,HEAT,,,,,,,
HOT WEATHER,HEAT,,,,,,,
HOT/DRY PATTERN,HEAT,DRY,,,,,,
Hurricane Edouard,,,HURRICANE,,,,,
HURRICANE EMILY,,,HURRICANE,,,,,
HURRICANE ERIN,,,HURRICANE,,,,,
HURRICANE FELIX,,,HURRICANE,,,,,
HURRICANE GORDON,,,HURRICANE,,,,,
HURRICANE OPAL,,,HURRICANE,,,,,
HURRICANE OPAL/HIGH WINDS,,,HURRICANE,,,,,
HURRICANE,,,HURRICANE,,,,,
HURRICANE/TYPHOON,,,HURRICANE,,,,,
HURRICANE-GENERATED SWELLS,,,,,,HURRICANE-GENERATED SWELLS,,
HVY RAIN,,HEAVY RAIN,,,,,,
HYPERTHERMIA/EXPOSURE,HYPERTHERMIA,,,,,,,
HYPOTHERMIA,HYPOTHERMIA,,,,,,,
Hypothermia/Exposure,HYPOTHERMIA,,,,,,,
HYPOTHERMIA/EXPOSURE,HYPOTHERMIA,,,,,,,
ICE AND SNOW,,SNOW,,,,,,
ICE FLOES,,,,,,ICE FLOES,,
Ice Fog,,ICE FOG,,,,,,
Ice jam flood (minor,,,,,FLOOD,,ICE JAM,
ICE JAM FLOODING,,,,,FLOOD,,ICE JAM,
ICE JAM,,,,,,,ICE JAM,
ICE ON ROAD,ICY ROAD,,,,,,,
ICE PELLETS,,HAIL,,,,,,
ICE ROADS,ICY ROAD,,,,,,,
ICE STORM AND SNOW,,ICE STORM,,,,,,
ICE STORM,,ICE STORM,,,,,,
ICE STORM/FLASH FLOOD,,ICE STORM,,,FLASH FLOOD,,,
ICE,,ICE STORM,,,,,,
Ice/Snow,,ICE STORM,,,,,,
ICE/SNOW,,ICE STORM,,,,,,
ICE/STRONG WINDS,,ICE STORM,HIGH WINDS,,,,,
Icestorm/Blizzard,,BLIZZARD,,,,,,
Icy Roads,ICY ROAD,,,,,,,
ICY ROADS,ICY ROAD,,,,,,,
LACK OF SNOW,,LACK OF SNOW,,,,,,
LAKE EFFECT SNOW,,LAKE EFFECT SNOW,,,,,,
Lake Effect Snow,,LAKE EFFECT SNOW,,,,,,
LAKE FLOOD,,,,,LAKE FLOOD,,,
LAKE-EFFECT SNOW,,LAKE EFFECT SNOW,,,,,,
LAKESHORE FLOOD,,,,,LAKE FLOOD,,,
LANDSLIDE,,,,,,,LANDSLIDE,
LANDSLIDE/URBAN FLOOD,,,,,URBAN FLOOD,,LANDSLIDE,
LANDSLIDES,,,,,,,LANDSLIDE,
Landslump,,,,,,,LANDSLUMP,
LANDSLUMP,,,,,,,LANDSLUMP,
LANDSPOUT,,,,,,LANDSPOUT,,
LARGE WALL CLOUD,,THUNDERSTORM,,,,,,
LATE FREEZE,LATE FREEZE,,,,,,,
LATE SEASON HAIL,,LATE SEASON HAIL,,,,,,
LATE SEASON SNOW,,LATE SEASON SNOW,,,,,,
Late Season Snowfall,,LATE SEASON SNOW,,,,,,
LATE SNOW,,LATE SEASON SNOW,,,,,,
Late-season Snowfall,,LATE SEASON SNOW,,,,,,
LIGHT FREEZING RAIN,COLD,FREEZING RAIN,,,,,,
LIGHT SNOW AND SLEET,,SLEET,,,,,,
Light Snow,,SNOW,,,,,,
LIGHT SNOW,,SNOW,,,,,,
Light snow,,SNOW,,,,,,
Light Snow/Flurries,,SNOW,,,,,,
LIGHT SNOW/FREEZING PRECIP,,SNOW,,,,,,
Light Snowfall,,SNOW,,,,,,
LIGHTING,,,,LIGHTNING,,,,
LIGHTNING  WAUSEON,,,,LIGHTNING,,,,
LIGHTNING AND HEAVY RAIN,,HEAVY RAIN,,LIGHTNING,,,,
LIGHTNING AND THUNDERSTORM WIN,,THUNDERSTORM,WIND,LIGHTNING,,,,
LIGHTNING AND WINDS,,,,LIGHTNING,,,,
LIGHTNING DAMAGE,,,,LIGHTNING,,,,
LIGHTNING FIRE,,,,LIGHTNING,,,,
LIGHTNING INJURY,,,,LIGHTNING,,,,
LIGHTNING THUNDERSTORM WINDS,,THUNDERSTORM,WIND,LIGHTNING,,,,
LIGHTNING THUNDERSTORM WINDSS,,THUNDERSTORM,WIND,LIGHTNING,,,,
LIGHTNING,,,,LIGHTNING,,,,
LIGHTNING.,,,,LIGHTNING,,,,
LIGHTNING/HEAVY RAIN,,HEAVY RAIN,,LIGHTNING,,,,
LIGNTNING,,,,LIGHTNING,,,,
LOCAL FLASH FLOOD,,,,,FLASH FLOOD,,,
LOCAL FLOOD,,,,,FLOOD,,,
LOCALLY HEAVY RAIN,,HEAVY RAIN,,,,,,
LOW TEMPERATURE RECORD,COLD,,,,,,,
LOW TEMPERATURE,COLD,,,,,,,
LOW WIND CHILL,WIND CHILL,,,,,,,
MAJOR FLOOD,,,,,FLOOD,,,
Marine Accident,,,,,,HIGH SEAS,,
MARINE HAIL,,HAIL,,,,MARINE HAIL,,
